centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,24,1,23,17,-180,0,-180,-180,0.018613289822133772,0.03404255319148936,0.032624113475177303,0.024113475177304965
-162,9,-162,-162,35,5,38,30,-168,6,-168,-168,0.031135860036274627,0.04964539007092199,0.05390070921985816,0.0425531914893617
-150,15,-150,-150,34,10,27,21,-156,12,-156,-156,0.03763804635329509,0.04822695035460993,0.03829787234042553,0.029787234042553193
-138,21,-138,-138,21,7,24,18,-144,18,-144,-144,0.019027957886108345,0.029787234042553193,0.03404255319148936,0.02553191489361702
-126,27,-126,-126,26,17,13,28,-132,24,-132,-132,0.03647753307142752,0.03687943262411347,0.018439716312056736,0.03971631205673759
-114,33,-114,-114,16,12,24,16,-120,30,-120,-120,0.021463264857059995,0.02269503546099291,0.03404255319148936,0.02269503546099291
-102,39,-102,-102,31,26,18,20,-108,36,-108,-108,0.040246196887291516,0.04397163120567376,0.02553191489361702,0.028368794326241134
-90,45,-90,-90,31,44,24,25,-96,42,-96,-96,0.06061651690213792,0.04397163120567376,0.03404255319148936,0.03546099290780142
-78,51,-78,-78,14,36,28,23,-84,48,-84,-84,0.045125622880824834,0.019858156028368795,0.03971631205673759,0.032624113475177303
-66,57,-66,-66,18,19,16,19,-72,54,-72,-72,0.022069144690558068,0.02553191489361702,0.02269503546099291,0.02695035460992908
-54,63,-54,-54,17,35,22,18,-60,60,-60,-60,0.038265770600784996,0.024113475177304965,0.031205673758865248,0.02553191489361702
-42,69,-42,-42,15,49,15,23,-48,66,-48,-48,0.051129040848518575,0.02127659574468085,0.02127659574468085,0.032624113475177303
-30,75,-30,-30,35,40,7,16,-36,72,-36,-36,0.04034033650020232,0.04964539007092199,0.009929078014184398,0.02269503546099291
-18,81,-18,-18,22,44,19,23,-24,78,-24,-24,0.04339663473964238,0.031205673758865248,0.02695035460992908,0.032624113475177303
-6,87,-6,-6,31,32,30,31,-12,84,-12,-12,0.031215397911349245,0.04397163120567376,0.0425531914893617,0.04397163120567376
6,93,6,6,27,37,20,20,0,90,0,0,0.03609280383499757,0.03829787234042553,0.028368794326241134,0.028368794326241134
18,99,18,18,24,46,36,29,12,96,12,12,0.04536920904598977,0.03404255319148936,0.05106382978723404,0.04113475177304964
30,105,30,30,24,29,32,21,24,102,24,24,0.02924674396264669,0.03404255319148936,0.04539007092198582,0.029787234042553193
42,111,42,42,17,38,24,20,36,108,36,36,0.03965109290293277,0.024113475177304965,0.03404255319148936,0.028368794326241134
54,117,54,54,19,42,31,27,48,114,48,48,0.045918924720941987,0.02695035460992908,0.04397163120567376,0.03829787234042553
66,123,66,66,18,11,23,19,60,120,60,60,0.012776873241902038,0.02553191489361702,0.032624113475177303,0.02695035460992908
78,129,78,78,46,31,30,22,72,126,72,72,0.03885817525848804,0.06524822695035461,0.0425531914893617,0.031205673758865248
90,135,90,90,30,23,24,27,84,132,84,84,0.03168590656248118,0.0425531914893617,0.03404255319148936,0.03829787234042553
102,141,102,102,18,30,20,23,96,138,96,96,0.04643791948533634,0.02553191489361702,0.028368794326241134,0.032624113475177303
114,147,114,114,13,11,27,18,108,144,108,108,0.019674659452305003,0.018439716312056736,0.03829787234042553,0.02553191489361702
126,153,126,126,11,12,24,35,120,150,120,120,0.025748846873948832,0.015602836879432624,0.03404255319148936,0.04964539007092199
138,159,138,138,16,3,23,39,132,156,132,132,0.008154839094046434,0.02269503546099291,0.032624113475177303,0.05531914893617021
150,165,150,150,25,9,14,16,144,162,144,144,0.03387424171796555,0.03546099290780142,0.019858156028368795,0.02269503546099291
162,171,162,162,18,5,19,34,156,168,156,156,0.031135860036274603,0.02553191489361702,0.02695035460992908,0.04822695035460993
174,177,174,174,29,1,30,27,168,174,168,168,0.018613289822133783,0.04113475177304964,0.0425531914893617,0.03829787234042553
