z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,rad_um,neighbors,contacts_0pt03um,contacts_30nm,contacts_100nm,contacts_50nm
15.7648302425,108.104591149,115.263891249,9.53257164421,0.0,14.6385141886,13.7292830759,1.8917796291,0.0,-0.0225830403,-0.0513608177,-0.02691029218,0.0622261289911,-0.0141852384951,-0.00945733280464,0.0065303512577,0.0182567144495,0.0596935374324,0.0318563331247,1.21063659881,"[68, 101, 202]",3.0,3.0,3.0,3.0
15.5405778077,107.700175262,115.086072034,9.56888759185,1.0,14.6159311483,13.6779222582,1.86486933692,0.0,-0.0016835511,-0.0328743769,-0.01379514518,0.0356912458652,-0.00294226725619,-0.0305796627423,-0.00392190608594,0.0309702124208,0.0357727217822,0.0336760855887,1.21524872416,"[68, 101, 202]",3.0,3.0,3.0,3.0
15.4256182645,107.4413219,115.072815726,9.5705803882,2.0,14.6142475972,13.6450478813,1.85107419174,0.0,0.0120547209,0.0073711649,0.00339345135,0.0145315477505,0.00350548251068,-0.00199021775418,0.0077185711342,0.00870779620199,0.00883956965471,0.00526923964217,1.2154637093,"[68, 101, 202]",2.0,2.0,3.0,3.0
15.4538970258,107.499362569,115.167734788,9.56195318691,3.0,14.6263023181,13.6524190462,1.85446764309,0.0,,,,,,,,,,,1.21436805474,"[68, 101, 202]",3.0,3.0,3.0,3.0
11.4844335191,89.1031410721,97.0047444533,7.35778921148,0.0,12.3196025456,11.3160989162,1.37813202229,1.0,-0.0027776291,-0.044182864,-0.07938196794,0.090891900237,0.00562017270491,-0.00227937910464,-0.0459413245023,0.0463399094449,0.091023121494,0.0796133075834,0.934439229858,"[68, 187, 238]",2.0,2.0,3.0,2.0
10.8229171196,88.7552445055,96.9828733584,7.37683694568,1.0,12.3168249165,11.2719160522,1.29875005435,1.0,-0.0034448667,-0.0596127102,0.03461321007,0.069018958521,-0.00470358285619,-0.0573179960423,0.0444864491641,0.0727084625145,0.0690932212335,0.0671233988512,0.936858292101,"[68, 187, 238]",2.0,2.0,3.0,2.0
11.1113605369,88.2858530862,96.9557484239,7.35771448495,2.0,12.3133800498,11.212303342,1.33336326442,1.0,0.0153988847,0.0173431226,-0.01138180522,0.0258351512786,0.00684964631068,0.00798173994582,-0.0070566854358,0.0126658057969,0.0218459846692,0.0154974616376,0.934429739589,"[68, 187, 238]",1.0,1.0,3.0,2.0
11.01651216,88.4224131068,97.0769994844,7.34229856502,3.0,12.3287789345,11.2296464646,1.3219814592,1.0,,,,,,,,,,,0.932471917758,"[68, 187]",1.0,1.0,2.0,1.0
18.2610228601,121.982867135,2.33765260367,7.62411585064,0.0,0.296881880666,15.4918241261,2.19132274322,2.0,0.003535770235,-0.0408804756,-0.00526367752,0.041369327496,0.0119335720399,0.00102300929536,0.0281769659177,0.0306169576865,0.0429107181011,0.0130829274509,0.968262713031,"[106, 135, 227]",1.0,1.0,3.0,2.0
18.2171588808,121.660973626,2.36549331418,7.58197750917,1.0,0.300417650901,15.4509436505,2.1860590657,2.0,-0.003042289547,0.0022049166,-0.0673472624,0.067451989857,-0.00430100570319,0.00449963075767,-0.0574740233059,0.0578101088218,0.0675204714146,0.0676343040164,0.962911143665,"[106, 135, 227]",1.0,1.0,3.0,1.0
