centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,114,3,80,121,-180,0,-180,-180,0.015387060373446705,0.0463038180341186,0.03249390739236393,0.04914703493095045
-162,9,-162,-162,96,23,70,105,-168,6,-168,-168,0.03946662247929877,0.03899268887083672,0.02843216896831844,0.042648253452477664
-150,15,-150,-150,57,31,87,58,-156,12,-156,-156,0.032151410471475586,0.0231519090170593,0.035337124289195776,0.023558082859463852
-138,21,-138,-138,85,44,87,45,-144,18,-144,-144,0.03295778994289372,0.03452477660438668,0.035337124289195776,0.018277822908204712
-126,27,-126,-126,101,48,80,98,-132,24,-132,-132,0.028381087934632582,0.041023558082859464,0.03249390739236393,0.039805036555645816
-114,33,-114,-114,67,85,64,72,-120,30,-120,-120,0.04189331506089591,0.027213647441104792,0.025995125913891144,0.02924451665312754
-102,39,-102,-102,74,105,83,73,-108,36,-108,-108,0.044787009201162825,0.030056864337936636,0.033712428919577576,0.029650690495532088
-90,45,-90,-90,93,73,81,92,-96,42,-96,-96,0.027712290613047058,0.03777416734362307,0.03290008123476848,0.03736799350121852
-78,51,-78,-78,89,72,82,85,-84,48,-84,-84,0.024869351962737967,0.03614947197400487,0.03330625507717303,0.03452477660438668
-66,57,-66,-66,74,93,75,83,-72,54,-72,-72,0.029766386260503683,0.030056864337936636,0.030463038180341188,0.033712428919577576
-54,63,-54,-54,51,90,74,83,-60,60,-60,-60,0.02711416235068983,0.020714865962632008,0.030056864337936636,0.033712428919577576
-42,69,-42,-42,109,119,47,61,-48,66,-48,-48,0.03421604358559389,0.044272948822095856,0.019090170593013808,0.024776604386677496
-30,75,-30,-30,91,135,88,100,-36,72,-36,-36,0.03751669366557136,0.036961819658813976,0.03574329813160033,0.04061738424045491
-18,81,-18,-18,63,152,130,75,-24,78,-24,-24,0.04131028846775181,0.025588952071486596,0.05280259951259139,0.030463038180341188
-6,87,-6,-6,67,158,103,80,-12,84,-12,-12,0.042470487630298356,0.027213647441104792,0.04183590576766856,0.03249390739236393
6,93,6,6,114,158,80,121,0,90,0,0,0.042470487630298356,0.0463038180341186,0.03249390739236393,0.04914703493095045
18,99,18,18,96,152,70,105,12,96,12,12,0.04131028846775181,0.03899268887083672,0.02843216896831844,0.042648253452477664
30,105,30,30,57,135,87,58,24,102,24,24,0.03751669366557136,0.0231519090170593,0.035337124289195776,0.023558082859463852
42,111,42,42,85,119,87,45,36,108,36,36,0.03421604358559389,0.03452477660438668,0.035337124289195776,0.018277822908204712
54,117,54,54,101,90,80,98,48,114,48,48,0.027114162350689825,0.041023558082859464,0.03249390739236393,0.039805036555645816
66,123,66,66,67,93,64,72,60,120,60,60,0.02976638626050368,0.027213647441104792,0.025995125913891144,0.02924451665312754
78,129,78,78,74,72,83,73,72,126,72,72,0.024869351962737957,0.030056864337936636,0.033712428919577576,0.029650690495532088
90,135,90,90,93,73,81,92,84,132,84,84,0.027712290613047055,0.03777416734362307,0.03290008123476848,0.03736799350121852
102,141,102,102,89,105,82,85,96,138,96,96,0.044787009201162804,0.03614947197400487,0.03330625507717303,0.03452477660438668
114,147,114,114,74,85,75,83,108,144,108,108,0.04189331506089592,0.030056864337936636,0.030463038180341188,0.033712428919577576
126,153,126,126,51,48,74,83,120,150,120,120,0.028381087934632575,0.020714865962632008,0.030056864337936636,0.033712428919577576
138,159,138,138,109,44,47,61,132,156,132,132,0.03295778994289373,0.044272948822095856,0.019090170593013808,0.024776604386677496
150,165,150,150,91,31,88,100,144,162,144,144,0.03215141047147555,0.036961819658813976,0.03574329813160033,0.04061738424045491
162,171,162,162,63,23,130,75,156,168,156,156,0.03946662247929874,0.025588952071486596,0.05280259951259139,0.030463038180341188
174,177,174,174,67,3,103,80,168,174,168,168,0.01538706037344671,0.027213647441104792,0.04183590576766856,0.03249390739236393
