z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um,contacts_2pt1um,rad_um,neighbors,contacts_0pt1um,contacts_0pt5um,contacts_0pt03um,contacts_0pt05um,contacts_30nm,contacts_50nm,contacts_100nm
8.36232500972,93.4400567985,98.2577831435,7.48154509439,0.0,12.4787384592,11.8668872134,1.00347900117,0.0,-0.03783753,-0.0262187352,0.01626161233,0.0488215197178,-0.00434402372181,-0.0436950015496,0.0159620206681,0.0467216203307,0.0311565828222,0.0468248196802,6.0,3.0,0.950156226988,"[25, 176]",2.0,1.0,1.0,1.0,1.0,1.0,2.0
8.49783844587,93.2336100644,97.9598498359,7.52669648283,1.0,12.4409009292,11.8406684782,1.0197406135,0.0,-0.0320955145,-0.0222233851,-0.01109729475,0.0405851062225,-0.0318921493098,-0.00147735224421,-0.00970003978728,0.0333673872085,0.0404244725837,0.0338000252665,6.0,2.0,0.955890453319,"[25, 176]",2.0,1.0,1.0,1.0,1.0,1.0,2.0
8.40536098956,93.0586227806,97.7071292494,7.53615158747,2.0,12.4088054147,11.8184450931,1.00864331875,0.0,-0.0379041449,0.0117689492,0.03595658142,0.0535547207376,-0.0782560196746,0.0218782727886,0.0570719913121,0.0992969064365,0.0869217379485,0.0888568465732,6.0,2.0,0.957091251609,"[25, 176]",2.0,1.0,1.0,1.0,1.0,1.0,2.0
8.70499916804,93.1512916716,97.4086714154,7.50125719691,3.0,12.3709012698,11.8302140423,1.04459990017,0.0,,,,,,,,,,,6.0,2.0,0.952659664008,"[25, 176]",2.0,1.0,1.0,1.0,1.0,1.0,2.0
14.9838551441,80.7139526926,123.271574231,7.45540213632,0.0,15.6554899274,10.250671992,1.79806261729,1.0,0.0252221666,0.0222795521,-0.02032368006,0.0393139682677,0.0587156728782,0.00480328575038,-0.0206232717219,0.0624173143611,0.0660072772844,0.0623189679529,5.0,4.0,0.946836071313,"[80, 139, 247]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
14.8144911436,80.8893822371,123.470173969,7.48294343298,1.0,15.680712094,10.2729515441,1.77773893723,1.0,-0.0255758133,-0.0291136652,0.00584075467,0.0391898219242,-0.0253724481098,-0.00836763234421,0.00723800963272,0.0276797250271,0.0390574069745,0.0273476289511,5.0,4.0,0.950333815988,"[80, 139, 247]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
14.8631640991,80.6601407786,123.268789612,7.48595909343,2.0,15.6551362807,10.2438378789,1.7835796919,1.0,-0.0044365134,-0.0115242408,0.00537956085,0.0134696121735,-0.0447883881746,-0.00141491721139,0.0264949707421,0.0520575180028,0.0465590755517,0.0451324869792,5.0,4.0,0.950716804866,"[80, 139, 247]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
14.9079937729,80.5693987249,123.233856435,7.43343912427,3.0,15.6506997673,10.2323136381,1.78895925275,1.0,,,,,,,,,,,5.0,4.0,0.944046768782,"[80, 139, 247]",3.0,3.0,3.0,3.0,3.0,3.0,3.0
10.520047662,68.8979294902,97.0526362099,7.55537887357,0.0,12.3256847987,8.75003704526,1.26240571944,2.0,0.0317397224,0.01379177166,-0.02069845332,0.0403242968121,0.0652332286782,-0.00368449468962,-0.0209980449819,0.068628474542,0.0698141322308,0.0685374028888,4.0,2.0,0.959533116943,"[4, 184]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
10.347560551,69.0065261175,97.3025552843,7.56279625597,1.0,12.3574245211,8.76382881692,1.24170726612,2.0,-0.028408461,-0.02857676107,0.00756306368,0.0409984373101,-0.0282050958098,-0.00783072821421,0.00896031864272,0.0306126615011,0.0408577854896,0.0302332212348,4.0,2.0,0.960475124508,"[4, 184]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
