x,y,z,mass,size,ecc,signal,raw_mass,ep,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy
247.0724472,13.22965346,6.561554475,89831,4.980287533,,112,89831,,0,31.37820079,1.680165989,0.787386537,0,,,,,,,,,,
346.0190375,40.99445365,7.104556167,120079,5.084198497,,127,120079,,0,43.94441776,5.206295614,0.85254674,1,0.00637701,0.053451303,0.092772294,0.107258596779,0.00412444975819,0.0499610712232,0.0936376290939,0.106212641931,0.107148268359,0.105450548873
346.0692502,41.41533006,7.87765862,117025,5.067503313,,126,117025,,1,43.95079477,5.259746917,0.945319034,1,,,,,,,,,,
499.2441015,46.12735294,6.733581179,89303,5.033293408,,107,89303,,0,63.4040009,5.858173824,0.808029741,2,,,,,,,,,,
432.8865323,56.24191872,6.91051628,110657,5.056286024,,122,110657,,0,54.9765896,7.142723678,0.829261954,3,0.000174609999995,0.001865901,0.000197505,0.00188443185574,-0.00207795024181,-0.00162433077679,0.00106284009389,0.00284358167547,0.00279972712497,0.00264486973307
432.8879071,56.25661086,6.912162162,109668,5.053979692,,122,109668,,1,54.97676421,7.144589579,0.829459459,3,0.00330452,-0.004914918,-0.004881893,0.00767522967999,0.00118206964171,0.00499587346524,-0.00251375866043,0.00571620703976,0.00702755909602,0.00708441384887
432.913927,56.21791072,6.871479719,110325,5.069208756,,122,110325,,2,54.98006873,7.139674661,0.824577566,3,0.00969295,-0.002756614,0.077609678,0.0782611929357,0.00604807961698,-0.00175188513189,0.0833379589621,0.0835754974411,0.0778937757915,0.0778646934614
432.9902495,56.19620509,7.518227036,106353,5.053596506,,120,106353,,3,54.98976168,7.136918047,0.902187244,3,-0.00379076,-0.004134843,0.001702708,0.00586225234407,0.000419132213513,-0.00497495434955,-0.0039505135036,0.00636650606963,0.00449130415139,0.00527494617278
432.960401,56.16364728,7.532416263,106644,5.040920656,,122,106644,,4,54.98597092,7.132783204,0.903889952,3,,,,,,,,,,
183.0081367,60.63952859,6.97753576,127447,5.118905957,,125,127447,,0,23.24203336,7.701220131,0.837304291,4,,,,,,,,,,
228.1129473,86.80303183,6.99638629,119268,5.17598208,,116,119268,,0,28.97034431,11.02398504,0.839566355,5,,,,,,,,,,
182.312024,92.93317599,6.81121388,78385,4.924288679,,103,78385,,0,23.15362705,11.80251335,0.817345666,6,0.06277607,0.0136453,0.100117467,0.118956027066,0.0605235097582,0.0101550682232,0.100982802094,0.118168299314,0.117782836797,0.1174296719
182.8063238,93.04061926,7.645526109,76220,4.916857939,,104,76220,,1,23.21640312,11.81615865,0.917463133,6,0.03699735,0.05639501,0.103478907,0.123519574375,0.0348748996417,0.0663058014652,0.10584704134,0.129677731679,0.12290052877,0.127752112025
183.0976415,93.48467446,8.507850332,73309,4.954433684,,105,73309,,2,23.25340047,11.87255366,1.02094204,6,-0.05199857,-0.05954826,-0.185450622,0.20159806485,-0.055643440383,-0.0585435311319,-0.179722341038,0.197037197918,0.202568805414,0.202275729378
182.6882039,93.01579055,6.962428487,77958,4.928206444,,102,77958,,3,23.2014019,11.8130054,0.835491418,6,-0.05034643,-0.00574735,-0.012956105,0.0523034960833,-0.0461365377865,-0.00658746134955,-0.0186093265036,0.0501824849811,0.0482646123751,0.0483718453517
182.2917753,92.97053583,6.854460943,77450,4.93249721,,102,77450,,4,23.15105547,11.80725805,0.822535313,6,,,,,,,,,,
291.1204201,96.81620153,6.24803439,89794,4.976380276,,120,89794,,0,36.97229335,12.29565759,0.749764127,7,,,,,,,,,,
432.8658677,97.84585044,7.17546659,111554,5.080201034,,116,111554,,0,54.97396519,12.42642301,0.861055991,8,0.00568177,-0.00559221,0.080225576,0.0806207068162,0.00342920975819,-0.00908244177679,0.0810909110939,0.081669982798,0.0804933247964,0.0808108487316
